Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc,hidden_channels,batch_size,lr
cora_runwom8j5m3_SEAL,43.17,62.73,74.91,85.61,90.04,95.2,54.77,43.17,62.73,74.91,85.61,90.04,95.2,94.2,95.35,69,32,32,0.001
cora_run351kubso_SEAL,43.17,62.73,74.91,85.61,90.04,95.2,54.77,43.17,62.73,74.91,85.61,90.04,95.2,94.2,95.35,69,32,32,0.0001
cora_runnzdng65i_SEAL,41.33,59.41,83.39,90.41,93.36,95.94,53.2,41.33,59.41,83.39,90.41,93.36,95.94,95.36,96.4,69,32,64,0.001
cora_run50x5j40x_SEAL,41.33,59.41,83.39,90.41,93.36,95.94,53.2,41.33,59.41,83.39,90.41,93.36,95.94,95.36,96.4,60.89,32,64,0.0001
cora_run0u0oppj8_SEAL,41.33,59.41,83.39,88.19,93.36,95.2,53.2,41.33,59.41,83.39,88.19,93.36,95.2,95.01,96.24,60.89,32,128,0.001
cora_runv6zlrfxz_SEAL,41.33,59.41,83.39,88.19,93.36,95.2,53.2,41.33,59.41,83.39,88.19,93.36,95.2,95.01,96.24,60.89,32,128,0.0001
cora_runycyvmq75_SEAL,41.33,59.41,83.39,88.19,93.36,95.2,53.2,41.33,59.41,83.39,88.19,93.36,95.2,95.01,96.24,86.9,32,256,0.001
cora_runloejjumz_SEAL,41.33,59.41,83.39,88.19,93.36,95.2,53.2,41.33,59.41,83.39,88.19,93.36,95.2,95.01,96.24,86.9,32,256,0.0001
cora_run5x1tgidu_SEAL,41.33,59.41,81.18,89.67,93.73,95.57,53.2,41.33,59.41,81.18,89.67,93.73,95.57,95.01,96.24,86.9,64,32,0.001
cora_runm64pcqh2_SEAL,41.33,59.41,81.18,89.67,93.73,95.57,53.2,41.33,59.41,81.18,89.67,93.73,95.57,95.01,96.24,83.21,64,32,0.0001
cora_runjczm52fd_SEAL,41.33,59.41,81.18,89.67,93.73,95.57,53.2,41.33,59.41,81.18,89.67,93.73,95.57,95.01,96.24,83.21,64,64,0.001
cora_runvc1b8kd9_SEAL,41.33,59.41,81.18,89.67,93.73,95.57,53.2,41.33,59.41,81.18,89.67,93.73,95.57,95.01,96.24,83.21,64,64,0.0001
cora_runtafq8w6n_SEAL,41.33,59.41,81.18,89.67,93.73,97.05,53.2,41.33,59.41,81.18,89.67,93.73,97.05,95.01,96.24,83.21,64,128,0.001
cora_runenpoj7cc_SEAL,41.33,59.41,81.18,89.67,93.73,97.05,53.2,41.33,59.41,81.18,89.67,93.73,97.05,95.01,96.24,83.21,64,128,0.0001
cora_runx4j8mnq8_SEAL,41.33,59.41,81.18,89.67,93.73,97.05,53.2,41.33,59.41,81.18,89.67,93.73,97.05,95.01,96.24,83.21,64,256,0.001
cora_run484egny2_SEAL,41.33,59.41,81.18,89.67,93.73,97.05,53.2,41.33,59.41,81.18,89.67,93.73,97.05,95.01,96.24,83.21,64,256,0.0001
cora_run93dxldui_SEAL,41.33,59.41,81.18,89.67,93.73,97.05,53.2,41.33,59.41,81.18,89.67,93.73,97.05,95.01,96.24,83.21,128,32,0.001
cora_run8e01cutx_SEAL,41.33,59.41,81.18,89.67,93.73,97.05,53.2,41.33,59.41,81.18,89.67,93.73,97.05,95.01,96.24,90.41,128,32,0.0001
cora_run1auoztdf_SEAL,41.33,59.41,81.18,89.67,93.73,97.05,53.2,41.33,59.41,81.18,89.67,93.73,97.05,95.01,96.24,90.41,128,64,0.001
cora_runzhhzs9zq_SEAL,41.33,59.41,81.18,89.67,93.73,97.05,53.2,41.33,59.41,81.18,89.67,93.73,97.05,95.01,96.24,90.41,128,64,0.0001
cora_runi2zoethy_SEAL,41.33,59.41,81.18,89.67,93.73,97.05,53.2,41.33,59.41,81.18,89.67,93.73,97.05,95.01,96.24,90.41,128,128,0.001
cora_runos6jva6i_SEAL,41.33,59.41,81.18,89.67,93.73,97.05,53.2,41.33,59.41,81.18,89.67,93.73,97.05,95.01,96.24,90.41,128,128,0.0001
cora_run3wc8pyhw_SEAL,41.33,59.41,81.18,89.67,93.73,97.79,53.2,41.33,59.41,81.18,89.67,93.73,97.79,95.01,96.24,90.41,128,256,0.001
cora_runpqwutohz_SEAL,41.33,59.41,81.18,89.67,93.73,97.79,53.2,41.33,59.41,81.18,89.67,93.73,97.79,95.01,96.24,90.41,128,256,0.0001
cora_runjw1rt7kp_SEAL,41.33,59.41,81.18,89.67,93.73,97.79,53.2,41.33,59.41,81.18,89.67,93.73,97.79,95.01,96.24,91.14,256,32,0.001
cora_runoa4oie2l_SEAL,41.33,59.41,81.18,89.67,93.73,97.79,53.2,41.33,59.41,81.18,89.67,93.73,97.79,95.01,96.24,91.14,256,32,0.0001
cora_runa83rcksx_SEAL,41.33,59.41,81.18,89.67,93.73,97.79,53.2,41.33,59.41,81.18,89.67,93.73,97.79,95.76,96.71,91.14,256,64,0.001
cora_run4r5fgdi4_SEAL,41.33,59.41,81.18,89.67,93.73,97.79,53.2,41.33,59.41,81.18,89.67,93.73,97.79,95.76,96.71,91.14,256,64,0.0001
cora_runkw7yyaqu_SEAL,41.33,59.41,81.18,89.67,93.73,97.79,53.2,41.33,59.41,81.18,89.67,93.73,97.79,95.76,96.71,91.14,256,128,0.001
cora_runpdu8n1l0_SEAL,63.1,60.89,78.6,88.19,92.62,96.31,66.62,63.1,60.89,78.6,88.19,92.62,96.31,94.88,96.11,86.72,256,128,0.001
cora_runzc7mam9d_SEAL,63.1,60.89,78.6,88.19,92.62,95.57,66.62,63.1,60.89,78.6,88.19,92.62,95.57,95.26,96.22,84.87,256,128,0.0001
cora_runer9lds4h_SEAL,63.1,60.89,78.6,88.19,92.62,95.57,66.62,63.1,60.89,78.6,88.19,92.62,95.57,95.26,96.22,84.87,256,256,0.001
cora_runx6qdv1v5_SEAL,63.1,60.89,78.6,88.19,92.62,95.57,66.62,63.1,60.89,78.6,88.19,92.62,95.57,95.26,96.22,84.87,256,256,0.0001
cora_runvw3oh3wp_SEAL,26.94,72.69,81.55,87.45,92.62,95.57,50.01,26.94,72.69,81.55,87.45,92.62,95.57,95.71,96.47,86.35,256,128,0.001
cora_run6bovg6un_SEAL,26.94,72.69,70.48,87.45,92.62,95.57,50.01,26.94,72.69,70.48,87.45,92.62,95.57,95.71,96.47,86.35,256,128,0.0001
cora_runbz6fzlqf_SEAL,43.17,72.69,83.03,87.45,92.62,95.57,58.66,43.17,72.69,83.03,87.45,92.62,95.57,95.84,96.64,86.35,256,256,0.001
cora_runusm4w693_SEAL,43.17,76.01,79.34,87.45,92.62,95.57,58.66,43.17,76.01,79.34,87.45,92.62,95.57,95.84,96.64,91.33,256,256,0.0001
Best,63.1,76.01,83.39,90.41,93.73,97.79,66.62,63.1,76.01,83.39,90.41,93.73,97.79,95.84,96.71,91.33,256,256,0.001