Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,out_channels,hidden_channels,batch_size,batch_size_sampler,lr,num_neighbors,num_hops,epochs,train_time,test_time,params
Tune,5.07 ± 2.66,5.52 ± 2.69,11.94 ± 3.64,17.11 ± 4.19,27.12 ± 4.78,37.00 ± 6.94,7.76 ± 3.04,5.07 ± 2.66,5.52 ± 2.69,11.94 ± 3.64,17.11 ± 4.19,27.12 ± 4.78,37.00 ± 6.94,86.37 ± 2.74,92.42 ± 1.67,82.19 ± 0.83,32,32,512,128,0.015,5,5,20,1.1356093883514404,1.1526038646697998,49056
Tune,5.40 ± 2.92,13.94 ± 4.82,22.66 ± 6.30,31.78 ± 8.99,52.45 ± 2.12,64.31 ± 1.95,7.96 ± 3.17,5.40 ± 2.92,13.94 ± 4.82,22.66 ± 6.30,31.78 ± 8.99,52.45 ± 2.12,64.31 ± 1.95,95.10 ± 0.37,97.35 ± 0.23,88.13 ± 0.63,32,32,512,128,0.015,5,5,40,1.1763434410095217,1.1932809352874756,49056
Tune,5.08 ± 2.67,13.04 ± 5.87,25.87 ± 11.76,35.51 ± 15.15,55.80 ± 6.98,68.77 ± 4.92,8.61 ± 3.78,5.08 ± 2.67,13.04 ± 5.87,25.87 ± 11.76,35.51 ± 15.15,55.80 ± 6.98,68.77 ± 4.92,95.38 ± 0.95,97.54 ± 0.60,88.65 ± 1.30,32,32,512,128,0.015,5,5,60,1.133711338043213,1.1504535675048828,49056
Tune,5.33 ± 2.86,12.18 ± 5.34,27.18 ± 12.08,38.37 ± 14.94,57.04 ± 6.19,71.33 ± 8.23,7.94 ± 3.16,5.33 ± 2.86,12.18 ± 5.34,27.18 ± 12.08,38.37 ± 14.94,57.04 ± 6.19,71.33 ± 8.23,95.54 ± 0.94,97.63 ± 0.59,88.97 ± 0.14,32,32,512,128,0.015,5,5,80,1.1685256958007812,1.1854970455169678,49056
Tune,5.33 ± 2.86,12.46 ± 5.90,27.56 ± 11.49,35.77 ± 12.66,59.76 ± 4.85,82.86 ± 5.73,8.02 ± 3.21,5.33 ± 2.86,12.46 ± 5.90,27.56 ± 11.49,35.77 ± 12.66,59.76 ± 4.85,82.86 ± 5.73,95.99 ± 1.15,97.84 ± 0.66,90.66 ± 1.60,32,32,512,128,0.015,5,5,100,1.2150120735168457,1.2319087982177734,49056
Tune,5.10 ± 2.68,10.61 ± 7.21,25.56 ± 12.25,44.65 ± 20.85,56.61 ± 6.87,79.23 ± 12.85,7.79 ± 3.06,5.10 ± 2.68,10.61 ± 7.21,25.56 ± 12.25,44.65 ± 20.85,56.61 ± 6.87,79.23 ± 12.85,97.00 ± 2.00,97.53 ± 0.61,89.80 ± 1.43,32,32,512,128,0.015,5,5,120,1.241779327392578,1.2588224411010742,49056
Tune,5.10 ± 2.68,17.01 ± 12.64,25.67 ± 14.68,29.33 ± 8.44,72.70 ± 20.80,93.08 ± 3.79,7.69 ± 3.00,5.10 ± 2.68,17.01 ± 12.64,25.67 ± 14.68,29.33 ± 8.44,72.70 ± 20.80,93.08 ± 3.79,98.92 ± 0.55,99.20 ± 0.75,90.52 ± 2.89,32,32,512,128,0.015,5,5,200,1.1988232135772705,1.2156517505645752,49056
Tune,5.08 ± 2.67,16.54 ± 11.87,27.69 ± 13.86,35.81 ± 16.46,75.90 ± 13.33,82.84 ± 16.99,8.71 ± 3.89,5.08 ± 2.67,16.54 ± 11.87,27.69 ± 13.86,35.81 ± 16.46,75.90 ± 13.33,82.84 ± 16.99,96.97 ± 2.12,98.45 ± 1.19,92.46 ± 3.00,32,32,512,128,0.015,5,5,300,1.1817238330841064,1.1990880966186523,49056
Tune,5.16 ± 2.72,10.83 ± 7.64,21.67 ± 14.10,50.67 ± 36.80,67.83 ± 20.40,81.44 ± 15.98,7.84 ± 3.08,5.16 ± 2.72,10.83 ± 7.64,21.67 ± 14.10,50.67 ± 36.80,67.83 ± 20.40,81.44 ± 15.98,96.89 ± 2.12,98.38 ± 1.16,94.33 ± 0.90,32,32,512,128,0.015,5,5,250,1.26546049118042,1.2834601402282715,49056
Best,5.40 ± 2.92,5.52 ± 2.69,27.69 ± 13.86,50.67 ± 36.80,75.90 ± 13.33,93.08 ± 3.79,8.71 ± 3.89,5.40 ± 2.92,5.52 ± 2.69,27.69 ± 13.86,50.67 ± 36.80,75.90 ± 13.33,93.08 ± 3.79,98.92 ± 0.55,99.20 ± 0.75,94.33 ± 0.90,32,32,512,128,0.015,5,5,300,1.26546049118042,1.2834601402282715,49056