Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,out_channels,hidden_channels,batch_size,epochs,train_time,test_time,params
cora_runohvs5ieq_GAE_hypertk56bnj4,2.93,23.31,42.58,61.61,89.35,96.13,23.18,2.93,23.31,42.58,61.61,89.35,96.13,90.43,93.75,82.57,16,16,32,100,10.686882495880129,10.72506070137024,23488
cora_runohvs5ieq_GAE_hyperlxktixcs,2.93,23.31,42.58,61.61,89.35,96.13,23.18,2.93,23.31,42.58,61.61,89.35,96.13,90.43,93.75,82.57,16,16,32,100,12.679805040359495,12.747870683670044,23488
cora_runohvs5ieq_GAE_hypertz0r4tym,2.93,23.31,42.58,61.61,89.35,96.13,23.18,2.93,23.31,42.58,61.61,89.35,96.13,90.43,93.75,82.57,16,16,32,100,15.398027181625366,15.486221313476562,23488
cora_runohvs5ieq_GAE_hyper7j280snj,2.93,23.31,42.58,61.61,89.35,96.13,23.18,2.93,23.31,42.58,61.61,89.35,96.13,90.43,93.75,82.57,16,16,32,100,16.584789991378784,16.638281106948853,23488
cora_runohvs5ieq_GAE_hyperbh0mox8e,2.93,23.31,42.58,61.61,89.35,96.13,23.18,2.93,23.31,42.58,61.61,89.35,96.13,90.43,93.75,82.57,16,16,32,100,14.94489598274231,15.00116801261902,23488
cora_runohvs5ieq_GAE_hypertlfb9mov,2.93,23.31,42.58,61.61,89.35,96.13,23.18,2.93,23.31,42.58,61.61,89.35,96.13,90.43,93.75,82.57,16,16,32,100,16.9108464717865,16.995569705963135,23488
cora_runohvs5ieq_GAE_hyper733r4pof,2.93,23.31,42.58,61.61,89.35,96.13,23.18,2.93,23.31,42.58,61.61,89.35,96.13,90.43,93.75,82.57,16,16,32,100,17.21573567390442,17.264214038848877,23488
cora_runohvs5ieq_GAE_hyperpwzemdp0,2.93,23.31,42.58,61.61,89.35,96.13,23.18,2.93,23.31,42.58,61.61,89.35,96.13,90.43,93.75,82.57,16,16,32,100,17.86991810798645,17.954724550247192,23488
cora_runohvs5ieq_GAE_hyperkaxv5c7j,2.93,23.31,42.58,61.61,89.35,96.13,23.18,2.93,23.31,42.58,61.61,89.35,96.13,90.43,93.75,82.57,16,16,32,100,15.923298597335815,16.007603645324707,23488
cora_runohvs5ieq_GAE_hyper5retuxwn,2.93,23.31,42.58,61.61,89.35,96.13,23.18,2.93,23.31,42.58,61.61,89.35,96.13,90.43,93.75,82.57,16,16,32,100,17.658970594406128,17.735726594924927,23488
cora_runohvs5ieq_GAE_hyperxrtim1wj,2.93,23.31,42.58,61.61,89.35,96.13,23.18,2.93,23.31,42.58,61.61,89.35,96.13,90.43,93.75,82.57,16,16,32,100,18.90060305595398,18.99125862121582,23488
cora_runohvs5ieq_GAE_hyper8bj58qmb,2.93,23.31,42.58,61.61,89.35,96.13,23.18,2.93,23.31,42.58,61.61,89.35,96.13,90.43,93.75,82.57,16,16,32,100,19.692121982574463,19.766113996505737,23488
cora_runohvs5ieq_GAE_hyper4diznp1q,2.93,23.31,42.58,61.61,89.35,96.13,23.18,2.93,23.31,42.58,61.61,89.35,96.13,90.43,93.75,82.57,16,16,32,100,16.01133966445923,16.070257425308228,23488
cora_runohvs5ieq_GAE_hyperdd5vlklg,2.93,23.31,42.58,61.61,89.35,96.13,23.18,2.93,23.31,42.58,61.61,89.35,96.13,90.43,93.75,82.57,16,16,32,100,18.49326014518737,18.55208158493042,23488
cora_runohvs5ieq_GAE_hypervjkbbvt4,2.93,23.31,42.58,61.61,89.35,96.13,23.18,2.93,23.31,42.58,61.61,89.35,96.13,90.43,93.75,82.57,16,16,32,100,18.505486011505127,18.563265085220337,23488
cora_runohvs5ieq_GAE_hyper6niucyek,2.93,23.31,42.58,61.61,89.35,96.13,23.18,2.93,23.31,42.58,61.61,89.35,96.13,90.43,93.75,82.57,16,16,32,100,19.15568256378174,19.211055040359497,23488
cora_runohvs5ieq_GAE_hyper3g42zzgc,2.93,23.31,42.58,61.61,89.35,96.13,23.18,2.93,23.31,42.58,61.61,89.35,96.13,90.43,93.75,82.57,16,16,32,100,17.14484977722168,17.22249746322632,23488
cora_runohvs5ieq_GAE_hypergi0igmbu,2.93,23.31,42.58,61.61,89.35,96.13,23.18,2.93,23.31,42.58,61.61,89.35,96.13,90.43,93.75,82.57,16,16,32,100,19.038960218429565,19.098485231399536,23488
cora_runohvs5ieq_GAE_hypermm0yk1s2,2.93,23.31,42.58,61.61,89.35,96.13,23.18,2.93,23.31,42.58,61.61,89.35,96.13,90.43,93.75,82.57,16,16,32,100,18.36003303527832,18.43153023719788,23488
cora_runohvs5ieq_GAE_hypergid8opgf,2.93,23.31,42.58,61.61,89.35,96.13,23.18,2.93,23.31,42.58,61.61,89.35,96.13,90.43,93.75,82.57,16,16,32,100,19.12958836555481,19.200417280197144,23488
cora_runohvs5ieq_GAE_hyperhgkmudlr,2.93,23.31,42.58,61.61,89.35,96.13,23.18,2.93,23.31,42.58,61.61,89.35,96.13,90.43,93.75,82.57,16,16,32,100,6.717446804046631,6.761947393417358,23488
cora_runohvs5ieq_GAE_hyperms7agu8n,2.93,23.31,42.58,61.61,89.35,96.13,23.18,2.93,23.31,42.58,61.61,89.35,96.13,90.43,93.75,82.57,16,16,32,100,7.589387893676758,7.65733003616333,23488
cora_runohvs5ieq_GAE_hyper7lwc4y55,2.93,23.31,42.58,61.61,89.35,96.13,23.18,2.93,23.31,42.58,61.61,89.35,96.13,90.43,93.75,82.57,16,16,32,100,8.358905553817749,8.411839962005615,23488
cora_runohvs5ieq_GAE_hyperfr7pq9vy,2.93,23.31,42.58,61.61,89.35,96.13,23.18,2.93,23.31,42.58,61.61,89.35,96.13,90.43,93.75,82.57,16,16,32,100,8.329910516738892,8.387916564941406,23488
cora_runohvs5ieq_GAE_hyper2un4rhrn,2.93,23.31,42.58,61.61,89.35,96.13,23.18,2.93,23.31,42.58,61.61,89.35,96.13,90.43,93.75,82.57,16,16,32,100,8.305979490280151,8.364295244216919,23488
cora_runohvs5ieq_GAE_hyperniucd7iw,2.93,23.31,42.58,61.61,89.35,96.13,23.18,2.93,23.31,42.58,61.61,89.35,96.13,90.43,93.75,82.57,16,16,32,100,9.004612922668457,9.06052851676941,23488
cora_runohvs5ieq_GAE_hyperf4y8lufs,2.93,23.31,42.58,61.61,89.35,96.13,23.18,2.93,23.31,42.58,61.61,89.35,96.13,90.43,93.75,82.57,16,16,32,100,9.300105571746826,9.368772506713867,23488
cora_runohvs5ieq_GAE_hyper3t89z85d,2.93,23.31,42.58,61.61,89.35,96.13,23.18,2.93,23.31,42.58,61.61,89.35,96.13,90.43,93.75,82.57,16,16,32,100,6.374464988708496,6.449456691741943,23488
cora_runohvs5ieq_GAE_hyperpfyor77u,2.93,23.31,42.58,61.61,89.35,96.13,23.18,2.93,23.31,42.58,61.61,89.35,96.13,90.43,93.75,82.57,16,16,32,100,8.757944583892822,8.820622682571411,23488
cora_runohvs5ieq_GAE_hyper2p4q2xhf,2.93,23.31,42.58,61.61,89.35,96.13,23.18,2.93,23.31,42.58,61.61,89.35,96.13,90.43,93.75,82.57,16,16,32,100,9.571835041046144,9.626308679580688,23488
cora_runohvs5ieq_GAE_hypertr4z5kux,2.93,23.31,42.58,61.61,89.35,96.13,23.18,2.93,23.31,42.58,61.61,89.35,96.13,90.43,93.75,82.57,16,16,32,100,9.839062213897703,9.901654243469238,23488
cora_runohvs5ieq_GAE_hypern7ctvmgt,2.93,23.31,42.58,61.61,89.35,96.13,23.18,2.93,23.31,42.58,61.61,89.35,96.13,90.43,93.75,82.57,16,16,32,100,9.865016222000122,9.94719624519348,23488
cora_runohvs5ieq_GAE_hyperhkbwq8xl,2.93,23.31,42.58,61.61,89.35,96.13,23.18,2.93,23.31,42.58,61.61,89.35,96.13,90.43,93.75,82.57,16,16,32,100,8.428900480270386,8.491427421569824,23488
cora_runohvs5ieq_GAE_hypermpeonxgr,2.93,23.31,42.58,61.61,89.35,96.13,23.18,2.93,23.31,42.58,61.61,89.35,96.13,90.43,93.75,82.57,16,16,32,100,9.639553546905518,9.71060037612915,23488
cora_runohvs5ieq_GAE_hyper5628xrov,2.93,23.31,42.58,61.61,89.35,96.13,23.18,2.93,23.31,42.58,61.61,89.35,96.13,90.43,93.75,82.57,16,16,32,100,9.961523532867432,10.048457384109495,23488
cora_runohvs5ieq_GAE_hyperi7xrr6z2,2.93,23.31,42.58,61.61,89.35,96.13,23.18,2.93,23.31,42.58,61.61,89.35,96.13,89.75,93.75,82.57,16,16,32,100,8.84709095954895,8.915225505828857,23488
cora_runohvs5ieq_GAE_hyperq5csrc5l,2.93,23.31,42.58,61.61,89.35,96.13,23.18,2.93,23.31,42.58,61.61,89.35,96.13,89.75,93.75,82.57,16,16,32,100,9.238046884536743,9.318109035491943,23488
cora_runohvs5ieq_GAE_hyperez9piyhq,2.93,23.31,42.58,61.61,89.35,96.13,23.18,2.93,23.31,42.58,61.61,89.35,96.13,89.75,93.75,82.57,16,16,32,100,9.933223009109495,10.00057888031006,23488
cora_runohvs5ieq_GAE_hyperlgpmm051,2.93,23.31,42.58,61.61,89.35,96.13,23.18,2.93,23.31,42.58,61.61,89.35,96.13,89.75,93.75,82.57,16,16,32,100,9.968286037445068,10.04529333114624,23488
cora_runohvs5ieq_GAE_hyper8m6lujkk,2.93,23.31,42.58,61.61,89.35,96.13,23.18,2.93,23.31,42.58,61.61,89.35,96.13,89.75,93.75,82.57,16,16,32,100,8.015747547149658,8.056593179702759,23488
cora_runohvs5ieq_GAE_hyperer027njh,2.93,23.31,42.58,61.61,89.35,96.13,23.18,2.93,23.31,42.58,61.61,89.35,96.13,89.75,93.75,82.57,16,16,32,100,2.9049177169799805,2.934413433074951,23488
cora_runohvs5ieq_GAE_hyperlonu71ig,24.02,34.64,42.58,61.61,89.35,96.13,32.54,24.02,34.64,42.58,61.61,89.35,96.13,89.07,93.75,82.57,16,16,32,100,3.9094431400299072,3.9715981483459473,23488
cora_runohvs5ieq_GAE_hyperqw75f75u,24.02,34.64,42.58,61.61,89.35,96.13,32.54,24.02,34.64,42.58,61.61,89.35,96.13,89.07,93.75,82.57,16,16,32,100,2.9651169776916504,2.996933460235596,23488
cora_runohvs5ieq_GAE_hyperuzvkw3ut,24.02,34.64,42.58,61.61,89.35,96.13,32.54,24.02,34.64,42.58,61.61,89.35,96.13,89.07,93.75,82.57,16,16,32,100,5.352047443389893,5.386437177658081,23488
cora_runohvs5ieq_GAE_hypero6oa5jj3,24.02,34.64,42.58,61.61,89.35,96.13,32.54,24.02,34.64,42.58,61.61,89.35,96.13,89.07,93.75,82.57,16,16,32,100,5.14631986618042,5.235659837722778,23488
cora_runohvs5ieq_GAE_hypervfcnz64p,24.02,34.64,42.58,61.61,89.35,96.13,32.54,24.02,34.64,42.58,61.61,89.35,96.13,89.07,93.75,82.57,16,16,32,100,5.027767181396484,5.139407873153687,23488
cora_runsiad3rw0_GAE_hypero6cloz5f,4.09,13.41,21.59,36.32,61.82,87.36,10.81,4.09,13.41,21.59,36.32,61.82,87.36,86.61,86.8,76.26,16,16,32,100,4.628021240234375,4.695053577423096,23488
cora_runsiad3rw0_GAE_hyperukwa45it,4.09,13.41,38.34,44.11,63.28,84.48,10.81,4.09,13.41,38.34,44.11,63.28,84.48,86.45,87.67,76.3,16,16,32,100,5.893561601638794,5.990377902984619,23488
cora_runsiad3rw0_GAE_hyperprqkj3i4,4.09,13.41,38.34,45.36,63.28,84.48,10.81,4.09,13.41,38.34,45.36,63.28,84.48,89.83,87.67,76.3,16,16,32,100,4.365925550460815,4.4232707023620605,23488
cora_runsiad3rw0_GAE_hyperivw7yvyw,4.09,13.41,38.34,45.36,63.28,84.48,10.81,4.09,13.41,38.34,45.36,63.28,84.48,89.83,87.67,76.3,16,16,32,100,4.9601099491119385,5.0401904582977295,23488
cora_runsiad3rw0_GAE_hyperziu5i9yd,4.09,13.41,38.34,45.36,63.28,84.48,10.81,4.09,13.41,38.34,45.36,63.28,84.48,89.83,87.67,76.3,16,16,32,100,4.352762460708618,4.397799491882324,23488
cora_runsiad3rw0_GAE_hyperpf8y182p,4.09,13.41,38.34,45.36,63.28,84.48,10.81,4.09,13.41,38.34,45.36,63.28,84.48,89.83,87.67,76.3,16,16,32,100,5.765038728713989,5.839042901992798,23488
cora_runsiad3rw0_GAE_hyperles7vtxn,4.09,17.89,37.2,45.36,63.28,84.48,10.81,4.09,17.89,37.2,45.36,63.28,84.48,87.97,89.05,76.3,16,16,32,100,5.7955732345581055,5.8888819217681885,23488
cora_runsiad3rw0_GAE_hyperswjp55p9,4.09,17.89,37.2,45.36,63.28,84.48,10.81,4.09,17.89,37.2,45.36,63.28,84.48,87.97,89.05,76.3,16,16,32,100,5.678644180297852,5.767702579498291,23488
cora_runsiad3rw0_GAE_hypercffyn9nb,4.09,17.89,37.2,45.36,63.28,84.48,10.81,4.09,17.89,37.2,45.36,63.28,84.48,87.97,89.05,76.3,16,16,32,100,5.737499237060547,5.833396911621094,23488
cora_runsiad3rw0_GAE_hypervviux5on,4.09,17.89,37.2,45.36,63.28,84.48,10.81,4.09,17.89,37.2,45.36,63.28,84.48,87.97,89.05,76.3,16,16,32,100,5.781880140304565,5.8748087882995605,23488
cora_runsiad3rw0_GAE_hypere4kfox8f,4.09,17.89,37.2,45.36,63.28,84.48,10.81,4.09,17.89,37.2,45.36,63.28,84.48,87.97,89.05,76.3,16,16,32,100,5.806045770645142,5.898662567138672,23488
cora_runsiad3rw0_GAE_hyperdczrbyjp,4.09,17.89,37.2,45.36,63.28,84.48,10.81,4.09,17.89,37.2,45.36,63.28,84.48,87.97,89.05,76.3,16,16,32,100,5.514499187469482,5.597750425338745,23488
cora_runsiad3rw0_GAE_hyper8k1u7xkd,4.09,17.89,37.2,45.36,63.28,84.48,10.81,4.09,17.89,37.2,45.36,63.28,84.48,87.97,89.05,76.3,16,16,32,100,5.70072340965271,5.783966541290283,23488
cora_runsiad3rw0_GAE_hyperuhjp7915,4.09,17.89,37.2,45.36,63.28,84.48,10.81,4.09,17.89,37.2,45.36,63.28,84.48,87.97,89.05,75.92,16,16,32,100,5.361022710800171,5.412123441696167,23488
cora_runsiad3rw0_GAE_hyper6gcv7947,4.09,17.89,37.2,45.36,63.28,84.48,10.81,4.09,17.89,37.2,45.36,63.28,84.48,87.97,89.05,75.92,16,16,32,100,5.833420515060425,5.921870708465576,23488
cora_runsiad3rw0_GAE_hyperrbjw8zmh,4.09,17.89,37.2,45.36,63.28,84.48,10.81,4.09,17.89,37.2,45.36,63.28,84.48,87.97,89.05,75.92,16,16,32,100,5.912777662277222,5.9890971183776855,23488
cora_runsiad3rw0_GAE_hypergruy7xoz,11.79,32.14,50.0,66.79,87.27,98.18,25.1,11.79,32.14,50.0,66.79,87.27,98.18,88.83,90.55,80.34,16,16,32,100,11.833983421325684,11.859098434448242,23488
cora_runen7a8lqg_GAE_hyper0rgg0twy,5.3,26.55,50.0,60.76,90.97,98.26,17.83,5.3,26.55,50.0,60.76,90.97,98.26,87.21,91.58,79.77,32,32,32,100,12.238133192062378,12.306365251541138,48000
cora_runen7a8lqg_GAE_hyper9ia1939g,10.8,13.33,50.0,60.76,90.97,98.26,14.12,10.8,13.33,50.0,60.76,90.97,98.26,88.71,91.58,79.77,32,32,32,100,15.34328818321228,15.390150785446169,48000
cora_runen7a8lqg_GAE_hyperorzevbk3,7.71,13.33,50.0,60.76,90.97,98.26,14.12,7.71,13.33,50.0,60.76,90.97,98.26,88.71,91.58,79.77,32,32,32,100,18.30543780326844,18.38409733772278,48000
cora_runen7a8lqg_GAE_hyperq6mdhzcm,7.71,13.33,50.0,60.76,90.97,98.26,14.12,7.71,13.33,50.0,60.76,90.97,98.26,88.71,91.58,79.77,32,32,32,100,18.62459373474121,18.708659887313843,48000
cora_runen7a8lqg_GAE_hyperqdcnra5u,2.42,13.33,50.0,60.76,90.97,98.26,12.54,2.42,13.33,50.0,60.76,90.97,98.26,88.54,91.58,79.77,32,32,32,100,17.345579147338867,17.41346001625061,48000
cora_runen7a8lqg_GAE_hypercqr2xdrp,2.42,13.33,50.0,60.76,90.97,98.26,12.54,2.42,13.33,50.0,60.76,90.97,98.26,88.54,91.58,79.77,32,32,32,100,20.208431243896484,20.29000163078308,48000
cora_runen7a8lqg_GAE_hypers9e7b9t1,2.42,13.33,50.0,60.76,90.97,98.26,12.54,2.42,13.33,50.0,60.76,90.97,98.26,88.54,91.58,79.77,32,32,32,100,21.038928747177124,21.15011048316956,48000
